Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
87,Bo Diaz\diazbo01,34,CIN,NL,140,530,496,49,134,28,1,15,82,1,0,19,73,0.27,0.3,0.421,0.722,86,209,16,5,4,6,1,*2/H
88,Gerald Perry*\perryge01,26,ATL,NL,142,590,533,77,144,35,2,12,74,42,16,48,63,0.27,0.329,0.411,0.74,92,219,18,1,3,5,1,*3/7H
89,Glenn Braggs\bragggl01,24,MIL,AL,132,565,505,67,136,28,7,13,77,12,5,47,96,0.269,0.332,0.43,0.762,98,217,20,4,2,7,7,*9/DH
90,Larry Parrish\parrila01,33,TEX,AL,152,613,557,79,149,22,1,32,100,3,1,49,154,0.268,0.328,0.483,0.811,112,269,10,3,0,4,7,*D5/H7
91,Keith Moreland\morelke01,33,CHC,NL,153,614,563,63,150,29,1,27,88,3,3,39,66,0.266,0.309,0.465,0.775,100,262,15,0,3,9,4,*5/H3
92,Mike Davis*\davismi02,28,OAK,AL,139,547,494,69,131,32,1,22,72,19,7,42,94,0.265,0.32,0.468,0.788,112,231,13,1,4,6,5,*9HD
93,Howard Johnson#\johnsho01,26,NYM,NL,157,645,554,93,147,22,1,36,99,32,10,83,113,0.265,0.364,0.504,0.868,133,279,8,5,0,3,18,*56/H7
94,Mike Scioscia*\sciosmi01,28,LAD,NL,142,523,461,44,122,26,1,6,38,7,4,55,23,0.265,0.343,0.364,0.707,90,168,13,1,4,2,9,*2H
95,Lou Whitaker*\whitalo01,30,DET,AL,149,684,604,110,160,38,6,16,59,13,5,71,108,0.265,0.341,0.427,0.768,106,258,5,1,4,4,2,*4/H
96,Joe Carter\cartejo01,27,CLE,AL,149,629,588,83,155,27,2,32,106,31,6,27,105,0.264,0.304,0.48,0.784,104,282,8,9,1,4,6,3798/DH
97,Glenn Hubbard\hubbagl01,29,ATL,NL,141,533,443,69,117,33,2,5,38,1,1,77,57,0.264,0.378,0.381,0.76,99,169,11,6,4,3,17,*4/H
